BIO_REGION_ID|ECO_REGION|ECO_REGION_DESCRIPTION|ECO_REGION_ID
PA47|Hokkaido Montane Conifer Forests|The Hokkaido Montane Conifer Forests ecoregion is located on Japan's northernmost volcanic Island of Hokkaido, the country's second-largest island.|698
PA47|Taiheiyo Montane Deciduous Forests|This mountainous ecoregion extends from Kyushu island in the south of Japan to the northeastern coast of Honshu, with a small section on Shikoku island. |683
PA47|Taiheiyo Evergreen Forests|This ecoregion encompasses areas across several of Japan’s major islands, stretching from Kyushu and Shikoku in the south to the western coast of Honshu further north.|682
PA47|Nihonkai Montane Deciduous Forests|This mountainous ecoregion lies predominantly within Japan’s largest island—Honshu—with a small section in the southerly tip of Hokkaido beneath the Kuromatsunai line.|671 
PA47|Nihonkai Evergreen Forests|This ecoregion encompasses much of the west coast of Honshu—Japan’s largest island—from the city of Hamada in the south to Yurihonjo in the north.|670
PA47|Hokkaido Deciduous Forests|This ecoregion covers 36,301 km2 of lowland temperate deciduous forests mostly on Hokkaido, Japan's northernmost island.|666
PA53|Qionglai-Minshan Conifer Forests|As tectonic forces push Eastern Tibet against the rigid continental crust of the Sichuan Basin, steep mountain escarpments have cropped up to form the Qionglai-Minshan mountain system.|706
PA53|Nujiang Lancang Gorge Subalpine Conifer and Mixed Forests|Several parallel river gorges, separated by steep mountain ridges, divide the Yunnan Plateau of China from the eastern Himalaya.|704
PA53|Hengduan Mountains Subalpine Conifer Forests|The Hengduan mountain system, the most biologically diverse temperate region on Earth, forms a landscape of deep river gorges and tall dividing ranges at the southeastern margin of the Tibet Plateau.|697
PA52|Yunnan Plateau Subtropical Evergreen Forests|The Yunnan Plateau, literally “South of the Clouds,” is a transition from the monsoon tropics of Indochina to the eastern Himalayan region. |643
PA52|Guizhou Plateau Broadleaf and Mixed Forests|The Guizhou Plateau lies at an elevation of 1,000 to 1,400 m and comprises a rugged landscape of block-shaped limestone hills separated by steep-walled basins; it is part of a geological realm called the South China Karst. |642
PA51|Sichuan Basin Evergreen Broadleaf Forests|The Sichuan Basin is a fertile expanse of low hills and plains almost entirely encircled by mountains: the Tibet Plateau to the west, karst limestone uplands to the south, row upon row of rugged hills to the north and east, cut through by the Chang Jiang.|680
PA51|Daba Mountains Evergreen Forests|The Daba Mountains have the most extensive primary forests remaining in central China.|659
PA51|Qin Ling Mountains Deciduous Forests|The Qinling Mountains first formed more than 200 million years ago as a suture zone where the tectonic plate of Southern China, moving north, accreted to the Asian continent.|677
PA50|Yellow Sea Saline Meadow|One reach of coastal saline meadow, the Yancheng coastline, extends northward from the mouth of the Yangtze River towards the Shandong Peninsula, holding the Yellow Sea Saline Meadow ecoregion.|748
PA50|Changjiang Plain Evergreen Forests|This ecoregion is delineated to the south and west by the mountainous uplands of southern China; to the north, it is separated from the plains of the Huang He by a low watershed divide.|657
PA49|Bohai Sea Saline Meadow|This ecoregion occupies a crescent of the Chinese coast that faces the northern part of the Yellow Sea, north of the Shandong Peninsula.|742
PA49|Huang He Plain Mixed Forests|Spreading across northeastern China, the Huang He Plain Mixed Forests ecoregion widens eastward as the floodplains that define it become broader towards the coast of the Yellow Sea.|667
PA49|Central China Loess Plateau Mixed Forests|The Central China Loess Plateau, northwest of the Yellow River Basin, forms a transition zone between the maritime-influenced ecoregions of eastern China and the steppes and deserts of Mongolia.|653 
IM16|Sunda Shelf Mangroves|This ecoregion lines the coasts of the islands of Borneo and Sumatra, astride the geologically active fault known as the ‘Ring of Fire’ that arcs around the Pacific Ocean.|322
IM16|Kinabalu Montane Alpine Meadows|Straddling the 4,095 m peak of Mount Kinabalu that towers above the vast tropical rainforests of Borneo, this ecoregion represents the alpine and subalpine meadows and shrublands of the Kinabalu and Crocker ranges.|313
IM16|Sundaland Heath Forests|This ecoregion is made up of the forests growing on patches of white-sand soils on sandstone plateaus and ridges, and beaches raised from the seabed which have well-drained acidic soils that leach nutrients.|281
IM16|Southwest Borneo Freshwater Swamp Forests|This ecoregion represents the freshwater swamp forests that line the southern and western coast of Borneo in Indonesian Kalimantan.|273
IM16|Borneo Peat Swamp Forests|This ecoregion represents the peat swamps along the coasts of Borneo and around the clusters of inland lakes associated with the Mahakam and Kapuas rivers.|221
IM16|Borneo Montane Rainforests|This ecoregion representing the montane forests along the central spine of Borneo has been described as a montane archipelago in an ocean of lowland dipterocarp forests.|220
IM16|Borneo Lowland Rainforests|The biodiversity of Borneo’s rainforests is among the richest in the world, rivalling forests of New Guinea and the Amazon.|219
IM18|Sumatran Tropical Pine Forests|This ecoregion consists of five discrete patches of tropical pine forests scattered across the mountain range and embedded within the montane broadleaf forests of Sumatra. |305
IM18|Sumatran Peat Swamp Forests|The Sumatran Peat Swamp Forests lie along the southeastern coast of Sumatra.|280
IM18|Sumatran Montane Rainforests|This ecoregion represents the forests above 1,000 m in elevation along the Barisan Mountain Range that runs the length of Sumatra.|279
IM18|Sumatran Lowland Rainforests|This ecoregion covers the lowland rainforests of Sumatra.|278
IM18|Sumatran Freshwater Swamp Forests|This ecoregion represents the disjunct patches of freshwater swamp forests adjacent to the peat swamp forests in eastern Sumatra. |277
IM18|Peninsular Malaysian Rainforests|This ecoregion represents the lowland moist forests of peninsular Malaysia, with small sections extending into southern Thailand. |265
IM18|Peninsular Malaysian Peat Swamp Forests|This ecoregion is located along the coastal regions of Peninsular Malaysia.|264
IM18|Peninsular Malaysian Montane Rainforests|This ecoregion represents the montane forests in central peninsular Malaysia, barely extending to the southernmost areas of Thailand.|263
IM18|Mentawai Islands Rainforests|This ecoregion represents the islands 80 to 120 km off the western coast of Sumatra.|245
IM18|Sunda Shelf Mangroves|This ecoregion lines the coasts of the islands of Borneo and Sumatra, astride the geologically active fault known as the ‘Ring of Fire’ that arcs around the Pacific Ocean.|322
IM17|Western Java Rainforests|This ecoregion represents the lowland rainforests of western and central Java, an Indonesian island along the famous Ring of Fire that defines the seismically active border of the northward-drifting Pacific Plate. |289
IM17|Western Java Montane Rainforests|This ecoregion represents the montane forests of West and Central Java. |288
IM17|Eastern Java-Bali Rainforests|This ecoregion represents the lowland moist forests of the eastern half of the island of Java and Bali, and the smaller islands off the northern coasts of both.|230
IM17|Eastern Java–Bali Montane Rainforests|This ecoregion represents forests along the central mountains of eastern Java and Bali, comprised of a row of about twenty active and dormant volcanos.|229
IM17|Christmas and Cocos Islands Tropical Forests|Christmas Island and the Cocos Islands are two peaks of ancient submarine volcanos that rise over 5,000 m from the Indian Ocean floor, now peeking out the ocean surface.|227
IM8|Godavari-Krishna Mangroves|This ecoregion extends as a narrow band along the middle-region coast of the Indian subcontinent. It forms larger patches in the estuaries of the Godavari and Krishna rivers.|316
IM8|Deccan Thorn Scrub Forests|This ecoregion represents the low, sparse thorn scrub vegetation in the arid parts of the Deccan Plateau.|315
IM8|Sri Lanka Dry-Zone Dry Evergreen Forests|This ecoregion represents the tropical dry forests throughout most of Sri Lanka.|301
IM8|South Deccan Plateau Dry Deciduous Forests|The ecoregion represents the expanse of tropical dry forests in the southern parts of the Deccan Plateau, in the rain shadow cast by the Western Ghats Mountains.|298
IM8|East Deccan Dry-Evergreen Forests|This ecoregion is relatively small, and represents the narrow strip of dry evergreen forests along the coast of southeastern India.|293
IM8|Central Deccan Plateau Dry Deciduous Forests|The ecoregion sits in the middle of the Deccan Plateau that makes up most of India.|290
IM7|Godavari-Krishna Mangroves|This ecoregion extends as a narrow band along the middle-region coast of the Indian subcontinent. It forms larger patches in the estuaries of the Godavari and Krishna rivers.|316
IM7|North Deccan Dry Deciduous Forests|This ecoregion extends across three Indian states of Bihar, Orissa, and Madhya Pradesh, and represents the northern extent of dry deciduous forests in India.|297
IM7|Orissa Semi-Evergreen Forests|The flora and fauna of this ecoregion has an ancient geological lineage with Gondwanaland origins, but now represents the forests along the low hills in the northeastern Indian State of Orissa.|261
IM7|East Deccan Moist Deciduous Forests|This ecoregion is a tropical moist deciduous forest ecoregion of east-central India.|228
IM6|Sundarbans Mangroves|This ecoregion lies in a vast delta, an area over 10,000 km2 formed by the confluence of South Asia’s largest rivers, the Ganges, Hooghly, Padma, Brahmaputra and Meghna.|323
IM6|Upper Gangetic Plains Moist Deciduous Forests|This ecoregion lies along one of Asia’s largest and most sacred rivers, the Ganges, or Ganga.|287
IM6|Sundarbans Freshwater Swamp Forests|This ecoregion represents the swamp forests surrounding the Sundarbans Mangroves, in the zone where the freshwater from the rivers push back the saline waters of the intruding ocean.|282
IM6|Meghalaya Subtropical Forests|This ecoregion represents the subtropical forests of the Khasi and Garo hills of the Indian State, Meghalaya, which literally means ‘abode of clouds’. |244
IM6|Lower Gangetic Plains Moist Deciduous Forests|This ecoregion lies along the confluence of two of Asia’s largest rivers, the Ganges and Brahmaputra Rivers.|238
IM6|Brahmaputra Valley Semi-Evergreen Forests|This ecoregion represents the swath of semi-evergreen forests along the upper reaches of the sacred Brahmaputra River.|222
IM6|Myanmar Coast Mangroves|This ecoregion extends along the eastern rim of the Bay of Bengal through the coastal areas of India, Myanmar, Thailand, and Malaysia.|321
IM5|Terai-Duar Savanna and Grasslands|This ecoregion stretches from northwest India across and into the inner river valleys of southern Nepal and to southwest Bhutan. |311
IM5|Western Himalayan Subalpine Conifer Forests|This ecoregion extends west from the Kali Gandaki River in central Nepal through northwestern India into eastern Pakistan.|310
IM5|Eastern Himalayan Subalpine Conifer Forests|This ecoregion represents the belt of conifer forest from the Kali Gandaki River in Nepal through Bhutan and into the Arunachal Pradesh State in India.|309
IM5|Western Himalayan Broadleaf Forests|This ecoregion is a narrow band between 1,500 and 2,600 m in width, starting from the deep creeks of the Kali Gandaki River gorge in Central Nepal through northwestern India into Pakistan westward. |308
IM5|Eastern Himalayan Broadleaf Forests|This ecoregion represents the narrow band of temperate broadleaf forest, between 2,000 and 3,000 m in width in the eastern Himalaya.|306
IM5|Himalayan Subtropical Pine Forests|This ecoregion stretches for over 3,000 km along the lower elevations of the Himalayan mountain range, from Pakistan to Bhutan, cutting through several Himalayan states of India and Nepal.|302
IM5|Himalayan Subtropical Broadleaf Forests|This ecoregion extends from the tiny Himalayan Kingdom of Bhutan in the east to Nepal in the west, as it traverses the Siwalik Hills.|233
IM3|Narmada Valley Dry Deciduous Forests|This ecoregion represents the dry forests along the Narmada River Valley, a rift valley situated in a fault zone marking the boundary of northern India and the Indian Peninsula. |296
IM3|Khathiar-Gir Dry Deciduous Forests|This ecoregion covers the dry deciduous forests that are surrounded by the extensive thorn scrub forests that cover most of India’s northwestern regions.|295
IM3|Chhota-Nagpur Dry Deciduous Forests|This ecoregion still harbors large populations of Asia’s largest predator and herbivore, the tiger and Asian elephant, both of which are still able to roam the landscape with relative freedom, a rarity in this bioregion. |292
IM3|Indus River Delta-Arabian Sea Mangroves|This ecoregion is in several disjunct patches that line the shorelines of the Indus River Delta and the Gulfs of Kutch and Khambhat.|320
IM2|South Western Ghats Montane Rainforests|This ecoregion represents the rainforests above 1,000 m elevation of the southern Western Ghats mountain range along the west coast of the Indian subcontinent.|271
IM2|South Western Ghats Moist Deciduous Forests|This ecoregion surrounds the montane rain forests along the southern extent of the Western Ghats Mountain Range, and represents the drier, deciduous forest ecosystems.|270
IM2|North Western Ghats Montane Rainforests|This ecoregion represents the upper montane forests along the Western Ghats mountain range, from north of Mumbai to the Wyanad evergreen forests in the south.|254
IM2|North Western Ghats Moist Deciduous Forests|This ecoregion extends through the Indian states of Maharashtra and Karnataka, northwards from where the South Western Ghats Moist Deciduous Forests ends. |253
IM2|Malabar Coast Moist Forests|This ecoregion extends from the coast to the 250 m elevation contour of the steep Western Ghats Mountains a few kilometers inland. |242
IM2|Sri Lanka Montane Rainforests|This ecoregion represents the island’s montane and sub-montane wet forests above 1,000 m. |275
IM2|Sri Lanka Lowland Rainforests|These rainforests have been separated from the nearest rainforests in the Western Ghats mountain range along the west coast of India since the late Miocene, over 7 million years ago, allowing species to evolve in isolation.|274
IM4|Indus River Delta-Arabian Sea Mangroves|This ecoregion is in several disjunct patches that line the shorelines of the Indus River Delta and the Gulfs of Kutch and Khambhat.|320
IM4|Thar Desert|This ecoregion lies to the west of the Aravalli Mountain Range in the northwestern Indian States of Gujarat, Rajasthan, extending across the border to the Punjab and Sind regions of Pakistan. |318
IM4|Indus Valley Desert|This hot, arid ecoregion sits in the middle of Pakistan’s Indus Valley, flanked by the Glaiman Mountain Range to the west, and the Chenab River to the east. |317
IM4|Aravalli West Thorn Scrub Forests|This ecoregion represents the thorn scrub forests in the northwestern parts of the Indian subcontinent, along the Aravalli Mountains, transcending the international border between India and Pakistan.|314
IM4|Rann of Kutch Seasonal Salt Marsh|This ecoregion represents the saline wetlands and mudflats at the mouth of the Luni River that flows down from the Aravalli Hills in northwestern India. |312
IM1|Maldives-Lakshadweep-Chagos Archipelago Tropical Moist Forests|This ecoregion represents three island groups along a submarine mountain range known as the Chagos-Laccadive Plateau in the western Indian Ocean. |243
IM15|Luzon Tropical Pine Forests|This ecoregion covers the tropical pine forest on the Central Cordillera Mountains on Luzon Island.|303
IM15|Sulu Archipelago Rainforests|This ecoregion represents a chain of islands between the large islands of Borneo and Mindanao, Philippines.|276
IM15|Palawan Rainforests|This ecoregion covers Palawan and its peripheral islands. |262
IM15|Mindoro Rainforests|This ecoregion represents Mindoro Island and the smaller satellite islands with a wet tropical climate.|248
IM15|Mindanao-Eastern Visayas Rainforests|This ecoregion covers the lowland forests below 1,000 m in elevation, on the Philippine islands of Mindanao, Samar, Leyte, Bohol, and several smaller satellite islands.|247
IM15|Mindanao Montane Rainforests|This ecoregion covers the montane rainforests, above 1,000 m elevation, on Mindanao Island.|246
IM15|Luzon Rainforests|The Luzon Rainforests ecoregion covers the rainforests below 1,000 m on Luzon Island.|241
IM15|Luzon Montane Rainforests|This ecoregion represents the forests above 1,000 m in elevation along the Sierra Madre Mountain range, the longest in the Philippines, and the Zambales Mountains in the west. |240
IM15|Greater Negros-Panay Rainforests|This ecoregion consists of several islands; namely the larger Negros, Panay, Cebu, and several smaller islands. |231
IM13|Taiwan Subtropical Evergreen Forests|This ecoregion represents most of the forests of the island of Taiwan, except for the southernmost section that lies to the south of the Tropic of Cancer.|283
IM13|South Taiwan Monsoon Rainforests|This ecoregion covers the low elevation forests in the southern-most part of the island.|269
IM13|South China-Vietnam Subtropical Evergreen Forests|This ecoregion extends from northern Vietnam into southeastern China, and includes Hainan Island. |268
IM13|Jian Nan Subtropical Evergreen Forests|This ecoregion covers the Nan Ling mountain range, a wide divide that separates the southern Zhujiang River basin from the northern Yangtze Valley. |236
IM13|Hainan Island Monsoon Rainforests|This ecoregion represents the montane forests in the central region of the island, which has a more seasonal climate.|232
IM12|Southern Vietnam Lowland Dry Forests|This ecoregion covers the dry forests along the semi-arid coastal areas of southern Vietnam, where the Annamite Mountains restrict the flow of humid air during the monsoon season, and casts a rain shadow. |300
IM12|Southeastern Indochina Dry Evergreen Forests|This ecoregion sprawls across Cambodia and southern Vietnam, with parts extending into Thailand and Laos.|299
IM12|Central Indochina Dry Forests|This ecoregion extends across Thailand, from the dry lower slopes in the north and the foothills of the Tenasserim Range to the uplands around the Chao Phraya River Basin.|291
IM12|Tonle Sap-Mekong Peat Swamp Forests|This ecoregion represents the forests that are permanently inundated with shallow fresh- water around the Tonle Sap Lake and River, Southeast Asia’s largest natural lake and its river, located in central Cambodia.|286
IM12|Tonle Sap Freshwater Swamp Forests|This ecoregion extends south from Tonle Sap Lake in central Cambodia, along the Tonle Sap River, and then along the lower reaches of the Mekong River into southern Vietnam.|285
IM12|Southern Annamites Montane Rainforests|This ecoregion represents the remote montane forests from Kontuey Neak, or “the Dragon’s Tail” in the northwest corner of Cambodia.|272
IM12|Northern Vietnam Lowland Rainforests|This ecoregion extends south from the Red River, along the coast and lowlands, to Tam Ky in Central Vietnam. |260
IM12|Northern Thailand-Laos Moist Deciduous Forests|This ecoregion includes the limestone karst mountains in northern Thailand and Laos.|258
IM12|Northern Khorat Plateau Moist Deciduous Forests|This ecoregion is relatively small, and represents the moist deciduous forests in the northern part of the low, saucer-shaped plateau in western Thailand.|257
IM12|Northern Annamites Rainforests|This ecoregion straddles the Annamite, or Troung Son, mountain range and the international boundary between Laos and Vietnam. |255
IM12|Luang Prabang Montane Rainforests|This ecoregion represents the forests above 800 m in northern and central Laos and in small areas of northeastern Thailand, barely touching northern Vietnam.|239
IM12|Chao Phraya Lowland Moist Deciduous Forests|This ecoregion occurs as two disjunct areas on either side of the Chao Phraya river basin’s lower reaches.|225
IM12|Chao Phraya Freshwater Swamp Forests|The sprawling capital of Thailand, Bangkok, which supports over 8 million people, sits in the lower reaches of this ecoregion. |224
IM12|Cardamom Mountains Rainforests|This ecoregion represents the wet evergreen forests of the Cardamom and Elephant mountains in southwest Cambodia and southeast Thailand.|223
IM12|South China Sea Islands|The South China Sea Islands ecoregion consists of over 250 islands, atolls, and shoals scattered throughout the South China Sea, and grouped into three archipelagos.|267
IM12|Indochina Mangroves|The mangroves that comprise this ecoregion line the coastal areas of the Gulf of Thailand, where regular flooding by tidal or brackish water and saline gleysols provide conditions for mangroves.|319
IM12|Red River Freshwater Swamp Forests|This ecoregion comprises the freshwater swamp forests of the Red River valley in northern Vietnam, immediately inland from the mangroves, and upriver along the wide shallow lower reaches of this 1,149 km long river. |266
IM11|Irrawaddy Dry Forests|This ecoregion is comprised of several patches of dry forests where the environment is harsh and dry, with only about 650 mm of annual rainfall.|294
IM11|Northern Indochina Subtropical Forests|This ecoregion straddles the intersection where the faunas of the northern Palearctic and the southern Indo-Malayan realms mix.|256
IM11|Kayah-Karen Montane Rainforests|This ecoregion lies along the northern part of the Tenasserim Mountain Range, which forms the border between Thailand and Myanmar. |237
IM11|Irrawaddy Moist Deciduous Forests|This ecoregion covers the moist deciduous forests in the vast Irrawaddy River basin, including the catchments of the Bago Yoma mountains and the foothills of Rakhine Yoma. |235
IM10|Northeast India-Myanmar Pine Forests|This ecoregion represents the pine forests distributed in three isolated patches in the Naga Hills, which form the international border between India and Myanmar. |304
IM10|Northern Triangle Subtropical Forests|The Northern Triangle Subtropical Forests ecoregion mountains were formed from the upheaval and uplift that followed the collision between the Deccan Plateau and the Laurasian mainland, which also created the Himalayas.|259
IM10|Mizoram-Manipur-Kachin Rainforests|This ecoregion is vast, covering the remote sub-montane rainforests from the southern Arakan mountains and Chin Hills in western Myanmar into the northern mountains of Kachin State in Myanmar.|249
IM10|Chin Hills-Arakan Yoma Montane Forests|This ecoregion represents the montane moist forests of the Chin Hills and Arakan (now known as Rakhine) Yoma along the west coast of Myanmar. |226
IM10|Northern Triangle Temperate Forests|This ecoregion represents a relatively narrow band of temperate forests in northern Myanmar’s mountains.|307
IM9|Tenasserim-South Thailand Semi-Evergreen Rainforests|This ecoregion is a transition from the continental dry evergreen forests in central Thailand to the semi-evergreen rainforests along the neck of the Malayan peninsula.|284
IM9|Nicobar Islands Rainforests|This ecoregion represents the cluster of Nicobar Islands in the archipelago along the eastern Indian Ocean undersea mountain range.|252
IM9|Myanmar Coastal Rainforests|This ecoregion represents the lowland evergreen and semi-evergreen rainforests along the western side of the Arakan Yoma and Tenasserim mountain ranges of Myanmar’s west coast. |250
IM9|Irrawaddy Freshwater Swamp Forests|This ecoregion represents the forests immediately behind the mangroves, in the zone where the fresh water from the Irrawaddy River pushes back the salt water.|234
IM9|Andaman Islands Rainforests|The Andaman Islands, covered by this ecoregion, is part of an archipelago that continues southward to the Nicobar Islands on the eastern side of the Bay of Bengal. |218
IM9|Myanmar Coast Mangroves|This ecoregion extends along the eastern rim of the Bay of Bengal through the coastal areas of India, Myanmar, Thailand, and Malaysia.|321
IM9|Indochina Mangroves|The mangroves that comprise this ecoregion line the coastal areas of the Gulf of Thailand, where regular flooding by tidal or brackish water and saline gleysols provide conditions for mangroves.|319
IM14|Nansei Islands Subtropical Evergreen Forests|This ecoregion covers the 1,050 km-long chain of over 100 small islands that stretches from Kyushu Island of Japan to Taiwan.|251
NA21|Central US Forest-Grasslands Transition|This ecoregion occupies a large area between the deciduous forests of the eastern United States and the tallgrass prairies of the eastern Great Plains.|387
NA21|Flint Hills Tallgrass Prairie|This ecoregion is distinguished from the Central Tallgrass Prairie to the east and northeast by its thin, cherty, limestone-derived soils, which hindered plowing for crop agriculture.|392
NA21|Central Tallgrass Prairie|This ecoregion, the heart of the tallgrass prairie, is the iconic North American prairie, with grasses up to 3 m tall on the best soils, waving in the wind over root systems just as long or sometimes longer.|388
NA12|Northern Tallgrass Prairie|This ecoregion represents the northernmost tallgrass prairie in North America, extending north into a true boreal climate. |397
NA12|Canadian Aspen Forests and Parklands|This ecoregion is an immense region stretching from southwestern Minnesota and southeastern North Dakota.|386
NA12|Northern Shortgrass Prairie|This ecoregion, sprawling across five U.S. states and two Canadian provinces, is the largest grassland ecoregion in North America.|396
NA20|Western Shortgrass Prairie|The Western Shortgrass Prairie is the second largest grassland ecoregion in North America, stretching from Texas and New Mexico in the south to Nebraska and Wyoming in the north.|402
NA20|Edwards Plateau Savanna|This ecoregion, the heart of the famed Texas Hill Country, lies to the west of the Texas Blackland Prairies ecoregion and is bordered on the south by the Tamaulipan Mezquital and on the southwest by the Chihauhuan Desert.|391
NA20|Cross-Timbers Savanna-Woodland|This ecoregion covers a long latitudinal extent from Texas north through eastern Oklahoma and a small portion of eastern Kansas.|390
NA20|Central-Southern US Mixed Grasslands|This ecoregion forms an ecological transition from tallgrass to shortgrass prairie. From north to south, its eastern boundary abuts the Central Tallgrass, Flint Hills Tallgrass, and Cross-Timber Savanna-Woodland ecoregions.|389
NA20|Nebraska Sand Hills Mixed Grasslands|This ecoregion is the smallest ecoregion in the Great Plains but stands out as the most intact of all Great Plains ecoregions and, most significantly, as the largest area of sand dunes in the entire Western Hemisphere. |395
NA14|Okanogan Dry Forests|This ecoregion is a complex mix of forest, grassland, and desert shrubland, and in its western portion, subalpine and alpine vegetation.|362
NA14|Fraser Plateau and Basin Conifer Forests|This ecoregion occupies a transitional area of plateaus and plains covering much of the central interior of British Columbia.|355
NA13|Montana Valley and Foothill Grasslands|This ecoregion forms the matrix of the northern Greater Yellowstone Ecosystem (GYE), westward into central Idaho.|394
NA13|South Central Rockies Forests|This ecoregion contains the world’s first national park, Yellowstone, as well as Grand Teton National Park and many designated Wilderness areas.|367
NA13|Central British Columbia Mountain Forests|This ecoregion is oriented northwest-southeast and lies to the east of the Coast Mountains.|350
NA13|Northern Rockies Conifer Forests|This ecoregion encompasses the well-known Rocky Mountain parks of Canada (Jasper, Banff, Yoho, Glacier, Kootenay, and Waterton Lakes National Parks, as well as several Provincial Parks) and the United States (Glacier National Park and several Wilderness Areas, including the Bob Marshall, Selway-Bitterroot, and Cabinet Mountains). |361
NA19|Wyoming Basin Shrub Steppe|The large Wyoming Basin Shrub Steppe ecoregion is largely confined to Wyoming, but overlaps into southern Montana, southeastern Idaho, northeastern Utah, and northwestern Colorado.|438
NA19|Colorado Plateau Shrublands|This ecoregion is bounded on the north by the Wyoming Basin Shrub Steppe and on the east by the Colorado Rockies Forests.|429
NA19|Wasatch and Uinta Montane Forests|This ecoregion constitutes the western edge of the greater Rocky Mountains and consists of two mountain ranges: the north-south oriented Wasatch Range and the east-west oriented Uinta Range.|368
NA19|Colorado Rockies Forests|The Colorado Rockies Forests ecoregion is massive and diverse in physical conditions and vegetation.|353
NA19|Arizona Mountains Forests|This ecoregion lies to the north of southeastern Arizona’s and southwestern New Mexico’s isolated “sky islands,” the northern outliers of the extensive Sierra Madre Occidental Pine-Oak Forests ecoregion.|346
NA18|Snake-Columbia Shrub Steppe|This vast ecoregion encompasses the sagebrush steppe of southeastern Oregon, northern Nevada, extreme northeastern California, southern Idaho, and a tiny slice of western Wyoming.|434
NA18|Great Basin Shrub Steppe|This huge ecoregion encompasses most of Nevada, nearly half of Utah, and small adjoining areas of California and Idaho.|430
NA18|Great Basin Montane Forests|A conspicuous feature of the Great Basin of North America is an archipelago of uplifted fault block mountains jutting out of a vast sea of sagebrush.|356
NA17|Palouse Prairie|This ecoregion occupies a large area of the Columbia Basin and Okanogan Highlands physiographic provinces of north-central Oregon, central and eastern Washington, and small areas of western Idaho and south-central British Columbia.|398
NA17|Blue Mountains Forests|This ecoregion occupies a broad swath of central Oregon (east of the Eastern Cascades) and northeastern Oregon, as well as adjacent areas of southeastern Washington and western Idaho. |348
NA31|Santa Lucia Montane Chaparral and Woodlands|This ecoregion is a small region bordering the Pacific Ocean in the Santa Lucia Mountains and vicinity, part of the Southern Coast Ranges of California.|425
NA31|California Montane Chaparral and Woodlands|This ecoregion occupies the Transverse Ranges of southern California, from north of Santa Barbara to northeast of San Bernardino, and the Peninsular Ranges, from east of San Jacinto southward to east of San Diego, as well as several disjunct blocks in northern Baja California. |424
NA31|California Interior Chaparral and Woodlands|This ecoregion wraps around California’s Central Valley, extending from Shasta Lake in the north to the vicinity of Wheeler Ridge in the south.|423
NA31|California Coastal Sage and Chaparral|This ecoregion stretches from the vicinity of Santa Barbara, California, southward along the coastal plain, coastal terraces, and mountains south of the east-west Traverse Ranges to northeastern Baja California, Mexico.|422
NA31|California Central Valley Grasslands|The California Central Valley ecoregion stretches from Red Bluff, California, southeastward 720 km to the vicinity of Wheeler Ridge.|385
NA31|Sierra Nevada Forests|This ecoregion lies between the California Central Valley Grasslands ecoregion to the west, which is enveloped by the California Interior Chaparral and Woodlands ecoregion, and the Great Basin Shrub Steppe ecoregion to the east.|366
NA16|North Cascades Conifer Forests|This ecoregion encompasses the northern section of the Cascades Mountains in Washington and adjacent British Columbia.|358
NA16|Eastern Cascades Forests|This ecoregion spans the eastern slope of the Cascades Mountains.|354
NA16|Central-Southern Cascades Forests|This ecoregion stretches from the northern edge of the Sierra Nevada Range in California, just south of Mt. Lassen, northward through western Oregon to north of Mt. Rainier in Washington. |352
NA16|Willamette Valley Oak Savanna|This ecoregion occupies the Willamette River Valley of northwest Oregon, between the Cascade Mountains and the Oregon Coast Range.|403
NA15|Northern California Coastal Forests|This ecoregion is often called the Redwood Region because it encompasses most of the range of one of the truly spectacular forests on Earth—the coast redwood forest. |359
NA15|Klamath-Siskiyou Forests|This ecoregion is the most biologically important temperate forest ecoregion in all of western North America, in terms of concentrations of endemic species and ancient lineages.|357
NA15|Haida Gwaii Conifer Forests|This ecoregion encompasses all 150 islands and the many islets in this archipelago. |365
NA15|Puget Lowland Forests|This ecoregion is centered on a north-south depression, the Puget Trough, between the Cascade Range and the Olympic Peninsula in Washington, including Seattle.|364
NA15|Central Pacific Northwest Coastal Forests|This ecoregion is a thin but long ecoregion extending from the southern Oregon coast in the south, northward through coastal Washington and British Columbia to the border with Alaska.|351
NA15|British Columbia Coastal Conifer Forests|This ecoregion lies between the Pacific Coastal Mountain Icefields and Tundra ecoregion to the west and the Central British Columbia Mountain Forests ecoregion to the east.|349
NA23|Southern Great Lakes Forests|This ecoregion occupies much of the industrial heartland of North America and is also highly agricultural.|342
NA23|Interior Plateau US Hardwood Forests|This ecoregion lies to the west of the Cumberland Plateau and includes a small part of northern Alabama, most of central Tennessee, central and western Kentucky, and the southernmost portions of Illinois, Indiana, and southwestern Ohio.|336
NA24|Appalachian-Blue Ridge forests|This ecoregion includes the Blue Ridge and Valley and Ridge physiographic provinces, a long region stretching from central Alabama northeastward to New York state and including portions of 10 states.|331
NA24|Appalachian Piedmont Forests|This ecoregion lies between the Coastal Plain and the Appalachian Mountains.|330
NA24|Appalachian Mixed Mesophytic Forests|This ecoregion includes the Cumberland Plateau, Cumberland Mountains, and much of the Allegheny Plateau physiographic provinces, stretching from northern Alabama to western Pennsylvania. |329
NA24|Allegheny Highlands Forests|This ecoregion encompasses a large part of the Allegheny Plateau physiographic province, including both unglaciated and glaciated portions, in Pennsylvania and New York.|328
